Package,Score
streamlit-authenticator,71
torchcrepe,71
azure-search-documents,77
discord-py-slash-command,71
ics,71
python-ldap,71
country-converter,71
ecos,71
pythreejs,68
pyvis,71
sqlacodegen,77
t5,68
behave,71
cmaes,73
pytimeparse2,73
pytweening,71
strenum,71
zstd,66
funcx-common,77
junos-eznc,79
onnxmltools,71
pyramid-debugtoolbar,76
arabic-reshaper,71
django-jazzmin,71
drf-flex-fields,71
exrex,71
imgkit,71
js2py,71
numpy-quaternion,71
pick,71
pyhocon,71
pysmb,68
python-redmine,71
py-trello,71
radon,74
simpleeval,71
streamlit-aggrid,71
hachoir,71
scrapy-splash,71
signalfx,71
sqlalchemy-jsonfield,69
sqlitedict,71
txaio,71
facexlib,71
django-health-check,74
fastprogress,71
mongomock,71
sentence-transformers,71
bc-jsonpath-ng,72
polyline,79
pymeeus,69
transitions,72
parse-type,72
types-s3transfer,75
pygam,69
torch-tb-profiler,75
secretstorage,72
functorch,75
mock-alchemy,72
pyroomacoustics,72
sacred,72
apache-airflow-backport-providers-http,75
azure-ai-nspkg,72
azure-cli-storage,66
azure-cognitiveservices-anomalydetector,72
azure-cognitiveservices-language-textanalytics,72
azure-cognitiveservices-vision-contentmoderator,72
azure-cognitiveservices-vision-customvision,72
azure-cognitiveservices-vision-nspkg,72
azure-communication-sms,72
azure-messaging-webpubsubservice,72
azure-mgmt-alertsmanagement,72
azure-mgmt-common,72
azure-mgmt-documentdb,72
azure-mgmt-purview,72
azure-mgmt-serialconsole,72
azure-mgmt-servermanager,72
azure-mgmt-storagesync,72
azure-monitor,72
azure-search,72
elasticsearch2,72
libthumbor,72
openapi-generator-cli,72
pyspinel,72
rasa-nlu,66
crashtest,72
retrying,72
scramp,72
stack-data,79
cltk,72
jsonobject,72
luqum,72
mip,72
plyer,72
proxmoxer,72
pycapnp,74
pygdbmi,72
pyheif,72
python-saml,72
quantities,71
symengine,74
x2paddle,72
django-smart-selects,69
nbstripout,72
nbdev,72
pingouin,74
amulet-core,78
borb,72
hana-ml,72
modelstore,72
ormar,76
pip-compile-multi,69
pyinfra,72
pymctranslate,78
rbtools,72
re-data,72
tabpy,72
http3,72
sphinxcontrib-napoleon,72
statistics,72
types-attrs,72
types-backports,72
types-backports-abc,69
types-enum34,72
types-fb303,72
types-flask,72
types-futures,72
types-geoip2,72
types-ipaddress,72
types-itsdangerous,72
types-jwt,72
types-kazoo,72
types-maxminddb,72
types-nmap,72
types-openssl-python,72
types-orjson,72
types-pathlib2,72
types-pkg-resources,72
types-pyjwt,72
types-pymssql,72
types-routes,72
types-scribe,72
types-tornado,72
types-typing-extensions,72
types-werkzeug,72
aerich,82
aj,71
aleph-alpha-client,75
argostranslate,72
assemblyline-v4-service,72
audiolm-pytorch,72
autoviz,73
bacpypes,72
bash-kernel,72
butterfree,72
check-wheel-contents,78
controlnet-aux,72
deeppavlov,72
djangocms-text-ckeditor,75
edx-completion,72
edx-enterprise,72
edxval,72
ethereum-etl,69
fastapi-code-generator,78
feincms,72
financepy,72
firebolt-sdk,78
ginza,72
graphistry,72
httprunner,72
hunter,72
ib-insync,67
img2dataset,71
invoice2data,68
iredis,72
k3d,72
large-image,72
large-image-source-pil,72
mopidy-iris,72
ntropy-sdk,72
optbinning,72
paddlehub,72
pglast,72
pycti,72
pygad,72
pyobjc-framework-imserviceplugin,72
pyriemann,72
spacy-llm,72
spacy-streamlit,71
stability-sdk,70
thermo,72
tidevice,72
torch-pruning,72
tsdownsample,71
typed-argument-parser,72
unstructured-inference,72
webauthn,79
xblock,72
zxing-cpp,69
affine,72
arq,72
geomet,72
jsonref,72
ptpython,72
python-fsutil,74
symspellpy,72
unidiff,72
django-push-notifications,72
docker-py,72
fake-factory,72
google-cloud-sqlcommenter,72
ipfshttpclient,72
opencensus-ext-httplib,72
opencensus-ext-postgresql,72
opencensus-ext-sqlalchemy,72
opencensus-ext-stackdriver,72
opencensus-ext-threading,72
pytest-pep8,72
pywatchman,71
aiohttp-socks,73
aiolimiter,73
allpairspy,67
assemblyline-core,79
bosdyn-api,73
bosdyn-core,73
catkin-pkg,73
chromedriver-binary,73
cli-exit-tools,73
dash-mantine-components,66
glfw,70
hdf5plugin,73
helium,70
httpie-edgegrid,75
ibm-cos-sdk,73
imagecodecs,73
iterfzf,73
lib-detect-testenv,73
macholib,76
mkdocs-literate-nav,73
msoffcrypto-tool,76
plantuml-markdown,71
prefect-azure,75
pygeodesy,73
pyobjc-framework-fileprovider,75
pyobjc-framework-multipeerconnectivity,79
pysqlite3,73
pysqlite3-binary,73
requestium,73
s2clientprotocol,75
siuba,76
smartystreets-python-sdk,70
sparse-dot-topn,73
stdlib-list,76
steamship,73
tabcmd,73
tmdbv3api,73
torchxrayvision,75
uuid6,70
workos,73
xatlas,73
blackduck,73
pep8-naming,73
apache-airflow-backport-providers-amazon,67
amplitude-analytics,73
angreal,73
apeye,73
avalara,73
browserstack-local,76
chiabip158,73
cloudwatch,73
courlan,73
dictor,73
django-pgviews-redux,76
dvc-s3,73
flake8-no-pep420,76
java-access-bridge-wrapper,76
json-stream-rs-tokenizer,73
lambda-multiprocessing,73
mdxpy,73
njsscan,73
pgzip,73
pydantic-yaml,76
pygresql,73
pynose,68
pypi-json,73
pytest-describe,66
pytest-html-merger,73
pytest-jira-xray,73
requests-ntlm2,71
sanic-testing,73
scikit-base,73
setuptools-scm-git-archive,76
simpervisor,73
slackblocks,73
smac,73
sphinxcontrib-apidoc,73
ulid-transform,69
wait-for-it,73
yamlloader,70
async-generator,73
django-simple-captcha,76
ffn,73
onnxsim,73
onnx-simplifier,73
sahi,73
segmentation-models-pytorch,70
simpletransformers,69
text-generation,82
uiautomator2,73
visualdl,73
bottleneck,72
sacrebleu,73
safety,73
ml-collections,70
paho-mqtt,73
pypdf2,73
c2cciutils,73
colorhash,73
flake8-json,70
snowflake-connector-python-nightly,73
wmctrl,73
ddsketch,73
funcsigs,73
hyperlink,73
portend,73
promise,73
translationstring,73
unittest-xml-reporting,76
formulaic,73
polyfuzz,73
soxr,73
sweetviz,73
betterproto,73
blendmodes,73
caio,73
mizani,73
objsize,70
pathvalidate,75
teradatasql,73
triad,73
bracex,73
dbt-extractor,73
pyhanko-certvalidator,73
tokenize-rt,73
addict,73
asynctest,73
deprecation,73
pytablewriter,70
pytest-runner,73
rfc3339-validator,73
user-agents,73
botbuilder-integration-aiohttp,70
flask-oso,69
docker-pycreds,73
hyperframe,73
matplotlib-inline,73
tomli,73
pycountry,73
airflow-code-editor,73
dbt-sqlserver,73
ktrain,72
sagemaker-inference,73
spleeter,72
yahooquery,73
azure-digitaltwins-core,74
azure-purview-catalog,74
azure-schemaregistry-avroencoder,74
hydra-joblib-launcher,74
paddlespeech,74
st2client,74
arctic,76
awscurl,77
backtrader,74
bx-python,70
celery-batches,74
circuitbreaker,74
confuse,68
django-vite,74
edx-search,74
heroku3,74
mailchimp3,74
maltego-trx,74
parquet-tools,71
piq,73
pm4py,74
pyamg,71
pybreaker,74
pybuildkite,74
pycobertura,74
pycognito,71
py-jama-rest-client,74
pytdc,76
pytest-github-actions-annotate-failures,74
python-schema-registry-client,74
pytorch-tabnet,74
snscrape,74
tune-sklearn,71
whatthepatch,74
wikipedia-api,74
jupyter-enterprise-gateway,70
mopidy,74
odmantic,74
pythonping,74
sphinx-intl,74
you-get,71
hologram,74
linkify-it-py,74
dataclasses,74
aeppl,74
asteval,76
boto-session-manager,74
cloudfoundry-client,74
django-adminactions,74
django-jsonform,76
django-statici18n,74
edk2-basetools,74
h5netcdf,77
ifcfg,74
jina-hubble-sdk,71
jupyter-cache,74
openpulse,77
openshift,77
ozi,74
pymeshlab,74
pytest-console-scripts,74
pytest-variables,74
rotary-embedding-torch,74
s3pathlib,74
scrapli,74
sgp4,73
sqlalchemy-filters,71
sqloxide,74
stable-ts,76
sv-ttk,74
telepath,71
trie,74
yahoofinancials,74
aiosmtpd,74
ck,74
curio,71
doc8,74
habanero,74
mkdocs-git-revision-date-localized-plugin,74
nvidia-tensorrt,74
openpifpaf,74
pip-requirements-parser,77
py-moneyed,74
pytest-azurepipelines,74
pytest-trio,74
python-redis-lock,69
pytumblr,74
py-vapid,74
search-engine-parser,70
tinode-grpc,70
viztracer,81
ipyvolume,71
skyfield,65
flake8-use-pathlib,74
kubernetes-stubs,74
types-certifi,74
types-characteristic,74
types-filelock,74
types-frozendict,74
bioutils,77
honeybadger,74
html-sanitizer,71
joblibspark,74
mariadb,74
openslide-python,79
pytest-alembic,71
simpy,74
cmarkgfm,74
cmsis-pack-manager,71
colander,74
extensionclass,81
google-cloud-common,74
google-search-results,74
lerc,74
mayavi,74
measurement,74
pgspecial,71
pyexasol,74
pytest-factoryboy,74
pytest-qt,74
pytradfri,74
tendo,74
testtools,74
vt-py,74
adbutils,74
aiormq,74
beir,74
dag-factory,74
econml,74
facets-overview,74
grad-cam,74
grequests,71
kneed,74
scenedetect,71
setfit,74
snakeviz,74
tsfresh,74
django-haystack,74
opencensus-ext-requests,77
captum,74
dedupe,74
emcee,74
jupyter-contrib-nbextensions,74
mmcls,74
pytest-django,85
concurrent-log-handler,71
customtkinter,74
dbutils,74
django-rosetta,74
lion-pytorch,71
mongita,68
pytest-split,74
smartsheet-python-sdk,74
tempora,74
us,74
ale-py,74
polib,74
fairseq,74
atlassian-jwt-auth,74
elementpath,74
ffmpy,74
findpython,71
fixtures,74
itemloaders,74
keyrings-alt,74
publicsuffixlist,74
sanic-routing,74
asyncer,72
ebooklib,72
flake8-builtins,74
flake8-quotes,74
haversine,74
mpi4py,82
praat-parselmouth,74
pre-commit-hooks,74
pudb,82
pydruid,74
pytest-socket,74
py-tgcalls,74
speechrecognition,78
uncompyle6,74
xlsx2csv,74
pyautogui,74
pyod,74
bc-python-hcl2,74
pyphen,74
pyproject-metadata,73
pytest-order,77
sudachipy,74
venusian,72
y-py,82
elevenlabs,74
backports-functools-lru-cache,75
pylint-plugin-utils,72
blis,75
dependency-injector,75
funcy,75
pyserial,75
python-decouple,75
strictyaml,75
youtube-dl,80
argon2-cffi-bindings,75
defusedxml,75
pyahocorasick,75
python-crfsuite,78
eve,69
opensearch-dsl,72
texttable,79
graphframes,75
blosc,75
jep,78
parsy,75
pytest-mypy,72
traceml,75
types-awscrt,75
baseplate,73
graph-notebook,75
openmim,75
presidio-image-redactor,75
pynecone,75
qiskit-machine-learning,75
tff-nightly,72
vedo,75
jupyter-book,75
visdom,75
ask-sdk-core,75
ask-sdk-runtime,75
auditwheel,75
autots,79
cartography,75
cfgrib,75
dbnd,72
dbnd-spark,72
eventsourcing,75
flask-monitoringdashboard,75
ghapi,75
gspread-pandas,75
guidance,75
hikka-pyro-new,75
histomicstk,75
interpret-community,75
ipyevents,75
label-studio-sdk,81
locust-plugins,75
mlrun,75
mlserver,78
mlserver-mlflow,72
mmpose,72
mt-940,75
myst-nb,75
mythril,72
nvidia-dali-cuda110,75
ovmsclient,75
pgadmin4,75
pyfaidx,75
shapash,75
shiv,75
solara,75
tensorflow-privacy,78
terrasnek,75
torchgeo,84
torchtnt,78
xinference,75
encodec,75
ansible-base,75
apache-airflow-backport-providers-cncf-kubernetes,69
azure-cli-command-modules-nspkg,75
azure-cognitiveservices-knowledge-qnamaker,75
azure-cognitiveservices-nspkg,75
azure-cognitiveservices-personalizer,75
azure-cognitiveservices-vision-computervision,75
azure-data-nspkg,75
azure-eventhub-checkpointstoreblob,75
azure-eventhub-checkpointstoreblob-aio,75
azure-keyvault-nspkg,75
azure-mgmt-automation,70
azure-mgmt-resourcegraph,75
azure-synapse-nspkg,75
chart-studio,75
conda,75
elasticsearch5,75
elasticsearch6,79
lxml-stubs,75
opentelemetry-sdk-extension-aws,75
salt,75
ansible-modules-hashivault,75
async-property,72
braintree,75
conllu,75
demisto-py,78
deptry,75
dirty-equals,75
django-cte,75
django-guid,75
dlint,75
fhir-resources,72
ha-av,75
kapitan,75
netron,75
pvporcupine,75
pydoc-markdown,74
pykcs11,75
pyobjc-framework-accessibility,75
pyobjc-framework-adservices,75
pyobjc-framework-apptrackingtransparency,75
pyobjc-framework-audiovideobridging,75
pyobjc-framework-authenticationservices,75
pyobjc-framework-automaticassessmentconfiguration,75
pyobjc-framework-avrouting,75
pyobjc-framework-backgroundassets,75
pyobjc-framework-callkit,75
pyobjc-framework-classkit,75
pyobjc-framework-coredata,79
pyobjc-framework-corehaptics,75
pyobjc-framework-coremidi,75
pyobjc-framework-coremotion,75
pyobjc-framework-datadetection,75
pyobjc-framework-devicecheck,75
pyobjc-framework-discrecordingui,79
pyobjc-framework-dvdplayback,79
pyobjc-framework-executionpolicy,75
pyobjc-framework-extensionkit,75
pyobjc-framework-externalaccessory,79
pyobjc-framework-fileproviderui,75
pyobjc-framework-healthkit,75
pyobjc-framework-intentsui,75
pyobjc-framework-iobluetooth,75
pyobjc-framework-iobluetoothui,75
pyobjc-framework-kernelmanagement,75
pyobjc-framework-latentsemanticmapping,79
pyobjc-framework-libxpc,75
pyobjc-framework-linkpresentation,75
pyobjc-framework-localauthentication,79
pyobjc-framework-localauthenticationembeddedui,75
pyobjc-framework-mailkit,75
pyobjc-framework-mapkit,79
pyobjc-framework-metal,75
pyobjc-framework-metalfx,75
pyobjc-framework-metalkit,75
pyobjc-framework-metalperformanceshaders,75
pyobjc-framework-metalperformanceshadersgraph,75
pyobjc-framework-metrickit,75
pyobjc-framework-mlcompute,75
pyobjc-framework-oslog,75
pyobjc-framework-passkit,75
pyobjc-framework-pencilkit,75
pyobjc-framework-phase,75
pyobjc-framework-pubsub,75
pyobjc-framework-pushkit,75
pyobjc-framework-quicklookthumbnailing,75
pyobjc-framework-replaykit,75
pyobjc-framework-safetykit,75
pyobjc-framework-screencapturekit,75
pyobjc-framework-screentime,75
pyobjc-framework-securityinterface,79
pyobjc-framework-sharedwithyou,75
pyobjc-framework-sharedwithyoucore,75
pyobjc-framework-shazamkit,75
pyobjc-framework-soundanalysis,75
pyobjc-framework-speech,75
pyobjc-framework-systemextensions,75
pyobjc-framework-threadnetwork,75
pyobjc-framework-uniformtypeidentifiers,75
pyobjc-framework-usernotifications,79
pyobjc-framework-usernotificationsui,75
pyobjc-framework-virtualization,75
schemdraw,74
signxml,75
starlette-exporter,74
tm1py,75
west,75
airtest,75
anthropic,81
cellpose,75
chromadb-client,81
datarobot-drum,72
django-forestadmin,69
documenttemplate,75
fanstatic,75
hebo,75
mage-ai,75
mapclassify,81
mnn,75
mteb,75
neptune,78
nlu,75
opennmt-tf,74
prefect-dask,72
pyartifactory,80
pydomo,75
pysal,78
pytest-operator,72
raydp,75
removestar,75
scrubadub,75
sqlmesh,75
stardist,75
tpot,75
tsfel,75
xgboost-ray,75
django-ordered-model,75
readchar,75
ahk,76
alchemyjsonschema,76
alibabacloud-tea-util,73
api4jenkins,76
aspose-words,76
astatine,76
asv-runner,76
asynq,76
bezier,71
camel-converter,73
cdktf-cdktf-provider-null,76
celery-types,76
clldutils,76
clvm-tools-rs,76
currencyconverter,74
databricks-automl-runtime,76
dbus-fast,76
deepfilternet,76
django-coverage-plugin,76
django-datadog-logger,76
django-easy-audit,76
django-js-reverse,79
django-location-field,76
django-permissions-policy,78
django-request,73
djangorestframework-dataclasses,76
django-sekizai,76
django-sequences,76
dockerfile,76
duckduckgo-search,76
duet,76
edx-submissions,78
enlighten,76
enum-tools,76
faust-cchardet,76
fortnitepy,74
fugashi,76
gitignore-parser,76
gocardless-pro,76
granian,76
grimp,76
hdx-python-country,76
html2image,76
httpstan,76
httpx-auth,76
idf-component-manager,76
ipylab,76
kdepy,76
leidenalg,76
libsast,76
littlefs-python,76
lumigo-tracer,76
lunr,76
mkdocs-minify-plugin,74
mkdocs-section-index,76
mobsfscan,76
nassl,76
nixtlats,70
pgvector,76
playwright-stealth,76
pulumi-command,76
pur,76
pyabsa,76
pydantic-xml,76
pyjson5,76
pyln-client,76
pyln-proto,76
pynrfjprog,70
pyseto,76
pytest-tap,76
python-hosts,76
python-liquid,76
python-socks,79
robotframework-datadriver,76
rstcheck-core,76
rule-engine,74
runtype,73
scalecodec,76
scrapy-playwright,76
sentinelhub,76
shellcheck-py,79
sift,73
simplification,76
smbus2,78
sphinxcontrib-plantuml,76
sphinx-prompt,76
sphinx-sitemap,76
sphinx-toolbox,76
splitio-client,76
sqlalchemy-easy-softdelete,76
sqltrie,79
streamlit-webrtc,76
synchronicity,74
taskipy,76
tencentcloud-sdk-python-asr,76
tencentcloud-sdk-python-cls,76
testrail-api,76
timeflake,76
tls-client,74
uefi-firmware,76
versioningit,76
vl-convert-python,76
wavefront-sdk-python,76
wsaccel,76
xenon,76
xoscar,72
xstatic-angular-fileupload,76
zconfig,76
bertopic,76
casadi,76
django-ninja,82
simplejpeg,76
tdqm,76
types-click,76
types-jinja2,70
types-markupsafe,76
antsibull-changelog,79
canals,76
clr-loader,74
cwl-upgrader,76
expecttest,74
hatch-nodejs-version,76
htbuilder,76
hyperpyyaml,76
isal,76
krb5,76
magic-filter,76
mesh-client,79
psygnal,76
python-subunit,79
pyviz-comms,79
scooby,73
auto-py-to-exe,76
bayesian-optimization,76
ciscoconfparse,76
cliff,76
cloudscraper,73
dice-ml,76
django-cacheops,76
dtreeviz,76
face-alignment,76
flaskwebgui,76
hmmlearn,76
itables,76
labelme,76
mleap,76
neural-compressor,76
open-flamingo,76
pydevd,76
pygwalker,75
pymunk,79
pyright,76
pythran,76
sphinxcontrib-mermaid,76
sslyze,76
swifter,74
treelite,76
treelite-runtime,76
virtualenv-clone,61
websockify,76
gdown,76
yappi,76
opencensus-ext-logging,76
pep8,76
click-option-group,76
faiss-cpu,76
instructorembedding,76
jsonmerge,73
marko,79
pycep-parser,76
pymsteams,76
pyobjc-framework-colorsync,79
pyproject-flake8,76
remarshal,73
uritools,76
chroma-hnswlib,76
oic,77
spacy-transformers,76
tigramite,73
pydub,76
dj-stripe,76
hexbytes,76
jsonschema-spec,76
mkdocs-material-extensions,76
plaster,76
plaster-pastedeploy,76
py-partiql-parser,74
sseclient-py,76
userpath,79
humanfriendly,76
imagesize,76
inflection,76
isodate,76
ratelimit,76
semantic-version,76
setproctitle,81
avro-gen3,76
pywin32-ctypes,76
zopfli,76
contextlib2,76
hpack,76
jupyterlab-pygments,76
msrest,76
msrestazure,76
pandocfilters,76
pickleshare,76
pydot,80
python-pptx,76
querystring-parser,76
msal,94
pycm,78
pytest-timeout,77
json5,76
makefun,76
docopt,76
alerta-server,76
attackcti,76
dadaptation,76
devpi-web,73
django-tailwind,80
dython,76
eccodes,76
getmac,76
graphql-server,76
honeycomb-beeline,76
json-rpc,76
pecan,76
psd-tools,73
pyportfolioopt,76
python-nomad,74
sagemaker-experiments,76
tf-hub-nightly,76
arcade,71
deepchem,76
itk,76
itk-core,76
itk-filtering,76
itk-io,76
itk-numerics,76
itk-registration,76
itk-segmentation,76
flask-session,77
cfgv,77
editables,77
spacy-loggers,77
appdirs,77
coloredlogs,77
fuzzywuzzy,79
retry,74
autorom,71
census,77
chromedriver-autoinstaller,77
code-annotations,77
crochet,74
customerio,77
dbldatagen,78
django-autoslug,71
django-leaflet,74
django-netfields,71
django-pgtrigger,74
django-role-permissions,74
dnstwist,77
edx-django-release-util,77
fastapi-login,77
freetype-py,77
hazm,78
humiolib,81
ibm-cloud-sdk-core,85
iocextract,77
mf2py,77
mkdocs-git-authors-plugin,73
mozilla-version,74
mythic,77
nerfacc,77
obd,77
pygdal,77
pyqldb,77
pytest-picked,77
pytest-selenium,77
python-sat,77
python-sonarqube-api,77
python-tds,77
pyxel,74
robotframework-pabot,77
rstr,77
sanic-ext,77
scikit-network,77
snowplow-tracker,77
solana,80
sovereign,77
spotify-dl,78
tuspy,77
bashate,68
cdk8s-plus-22,77
clusterfuzz,77
dynamodb-encryption-sdk,77
nanopb,77
opacus,77
opencensus-ext-fastapi,77
tenseal,77
testslide,77
botframework-streaming,83
cn2an,77
flask-injector,77
hsluv,79
mkdocs-redirects,77
tbump,77
aiohttp-jinja2,77
aiohttp-session,77
buildozer,77
carla,77
django-activity-stream,84
google-cloud-access-context-manager,77
param,77
xstatic-font-awesome,75
pytorch-metric-learning,77
pytrends,77
vaex,77
vaex-core,77
vaex-jupyter,74
vaex-ml,74
vaex-server,77
flair,77
hydra-colorlog,77
lightning-lite,77
opentelemetry-exporter-prometheus,77
sorl-thumbnail,93
wsproto,80
basemap,77
extruct,74
fcm-django,77
flake8-eradicate,77
lupa,72
objgraph,79
osqp,71
pytest-httpserver,79
python-hcl2,77
rq-scheduler,74
sgqlc,74
youtube-transcript-api,77
camelot-py,77
jupyter-server-ydoc,77
mmcv-full,77
pymars,77
scons,77
algoliasearch,77
tld,77
cssutils,77
django-cleanup,77
django-registration,74
django-solo,77
eradicate,77
eth-hash,77
jiwer,77
jq,77
loky,77
pylast,76
translators,74
vector-quantize-pytorch,79
xarray-einstats,77
xmodem,77
aioresponses,77
dask-ml,77
django-nested-admin,77
django-postgres-extra,75
djangorestframework-api-key,77
dramatiq,77
gitlint,77
gitlint-core,77
guessit,77
notion-client,77
open3d,77
pip-review,74
pylint-gitlab,85
textx,74
workalendar,77
types-dataclasses,77
types-freezegun,77
django-ckeditor,80
analytics-python,77
bpython,77
branca,77
cbor2,74
colorcet,68
flake8-docstrings,77
instana,80
opencc,77
py-cpuinfo,77
pyftpdlib,82
svglib,77
thriftpy2,88
webob,77
jupyter-nbextensions-configurator,79
fvcore,77
python-miio,77
levenshtein,81
pyaml,77
alive-progress,77
anytree,77
sparkmeasure,400
tomesd,77
daphne,77
pandas-profiling,77
bottle,77
flask-admin,77
mangum,77
selenium-wire,77
soundfile,77
singledispatch,78
asn1crypto,78
av,78
ciso8601,80
colorful,78
django-countries,78
docstring-parser,78
filetype,78
glom,78
hnswlib,78
idna,78
jsondiff,81
oscrypto,78
outcome,78
pefile,78
pygsheets,78
pylint-django,78
py-spy,78
qrcode,78
rsa,78
autokeras,80
ptyprocess,78
vine,78
ansible-pylibssh,78
django-user-sessions,77
fair-esm,78
sphinx-book-theme,78
sphinx-jupyterbook-latex,80
botocore-stubs,78
jaraco-classes,78
starkbank-ecdsa,78
xxhash,82
cvxpy-base,78
asteroid,78
bikeshed,78
brainflow,78
causalnex,78
clu,84
colossalai,78
datadog-checks-dev,78
datasette,78
deepsparse,78
jupyterhub-kubespawner,81
kedro-datasets,78
kedro-telemetry,78
mmocr,75
modoboa,78
multiqc,78
neurokit2,78
nilearn,84
pot,78
pyocr,78
pytextrank,81
python-quickbooks,78
qiskit-aer,78
rai-test-utils,78
raiwidgets,78
sagemaker-training,78
trainer,78
vineyard-io,78
diagrams,78
pyscipopt,80
aiosmtplib,78
assemblyline,84
azdev,78
conda-pack,78
crate-docs-theme,78
dapr,81
datapane,78
django-logpipe,78
django-select2,78
dora-search,76
fake-bpy-module-latest,82
goose3,75
guardrails-ai,78
hazelcast-python-client,78
horizon,78
lastversion,78
minigrid,78
mkdocs-macros-plugin,78
mycli,75
openml,78
opentelemetry-contrib-instrumentations,84
pdm-pep517,78
pem,78
ploomber,78
prefect-gcp,84
pyjanitor,75
pytest-doctestplus,75
pytest-postgresql,78
pytransform3d,78
pyzotero,78
qiling,78
rocketchat-api,78
scikit-lego,78
solara-assets,78
sparkmagic,78
stim,78
taskcat,81
textattack,78
tiledb,78
underthesea,78
wrapt-timeout-decorator,78
yamlfix,78
csvkit,86
detect-secrets,69
devpi-common,78
django-defender,80
django-elasticsearch-dsl,88
pyvisa,78
qtawesome,78
rpyc,78
aiogoogle,78
aiorun,75
airflow-clickhouse-plugin,78
airportsdata,78
amazon-braket-schemas,81
async-upnp-client,78
audiomentations,78
binance-connector,78
bitmapist,78
brotlicffi,82
cargo-zigbuild,78
chiapos,78
chiavdf,78
clarifai,78
clarifai-grpc,78
clearml-agent,77
cloup,78
couchbase,78
dataclasses-avroschema,78
dataframe-image,78
deepxde,78
dek,76
diffprivlib,75
django-browser-reload,78
django-cache-memoize,78
django-config-models,78
django-dynamic-fixture,78
django-linear-migrations,81
django-migration-linter,78
django-plotly-dash,78
django-rich,78
djangosaml2,75
django-scim2,78
django-simpleui,78
django-structlog,78
django-test-migrations,78
djlint,78
dvc-task,78
edx-ace,77
edx-auth-backends,78
edx-django-sites-extensions,78
edx-django-utils,78
edx-drf-extensions,78
edx-i18n-tools,78
edx-opaque-keys,78
edx-rbac,78
edx-rest-api-client,78
edx-toggles,78
events,74
evo,78
exchange-calendars,78
fastly,78
fcsparser,78
fido2,75
financedatabase,78
finviz,74
flake8-aaa,78
flake8-django,77
flake8-pyi,78
flake8-simplify,78
flake8-tidy-imports,81
flake8-type-checking,78
fundamentalanalysis,78
gdal-utils,78
grafana-backup,78
grafana-client,78
grpc-interceptor,78
hap-python,78
hdrhistogram,78
hypothesis-jsonschema,78
imgui,78
install-jdk,77
intake,82
jcloud,77
json-tricks,78
juliacall,78
kor,78
label-studio-tools,78
lagom,78
lanarky,78
lets-plot,81
liccheck,78
martor,78
meson-python,78
milvus,78
mkdocs-awesome-pages-plugin,78
mljar-supervised,77
molecule-plugins,77
mo-sql-parsing,78
mpire,78
mutmut,78
netsuitesdk,78
netutils,78
nvitop,78
ocpp,78
onepasswordconnectsdk,78
pandas-vet,78
pdbp,78
pg-activity,78
pgeocode,78
picologging,81
pigar,75
pixivpy3,78
polygon-api-client,82
pyannote-audio,78
pyasn,76
pychromecast,74
pydantic-extra-types,78
pyeapi,78
pyftdi,77
pygount,75
pymongocrypt,78
pyoxigraph,78
pypyr,78
pyrate-limiter,78
pyreadr,76
pyspelling,78
pytest-check-links,78
pytest-memray,78
pytest-redis,78
python-barbicanclient,78
python-barcode,75
python-gvm,78
python-jsonschema-objects,78
python-kasa,78
python-logstash-async,78
python-lokalise-api,78
pytools,77
pyvisa-py,78
qasync,78
qdrant-client,78
radian,78
refurb,78
rpaframework-dialogs,68
ruff-lsp,82
rwkv,78
schwifty,78
scout-apm,78
shandy-sqlfmt,78
simplefix,78
simple-parsing,78
smt,78
sphinx-autoapi,79
sphinx-click,78
sphinxcontrib-bibtex,78
spiffworkflow,78
sqlakeyset,78
sqlalchemy-cockroachdb,78
sqlalchemy-json,78
sqlite-vss,78
sse-starlette,78
stem,78
stream-zip,78
tabcompleter,78
temporalio,78
tensorflow-compression,78
tflite-support,78
tiktokapi,78
tink,78
tinytag,78
turbodbc,78
twitchio,78
txtai,78
tyro,78
ufmt,77
ursina,78
vivisect,71
web-fragments,78
webuiapi,71
xkcdpass,78
xsdata,78
xss-utils,78
cloudformation-cli-python-plugin,84
torch-geometric,78
pathy,78
pmdarima,79
apipkg,79
bingads,79
deal,79
djangocms-admin-style,81
django-webtest,79
edk2-pytool-extensions,79
edk2-pytool-library,79
fireblocks-sdk,79
flask-oidc,79
lithium-reducer,76
nvtx,79
pinotdb,79
plux,79
prefect-kubernetes,79
pubnub,78
pykka,79
pytest-mock-resources,79
rdkit,79
recurring-ical-events,79
robocorp-storage,79
robotframework-assertion-engine,79
securesystemslib,79
setupmeta,79
sourcery,79
sourcery-cli,79
sphinx-notfound-page,79
st-annotated-text,79
sudachidict-full,77
titlecase,79
valohai-yaml,79
ziglang,79
azure-storage-file,80
binaryornot,79
pyrogram,79
appengine-python-standard,79
azureml-contrib-pipeline-steps,79
causal-learn,79
cmdstanpy,88
delta-sharing,79
easyocr,79
elementary-data,85
evidently,79
flaml,79
gpflow,79
hvplot,79
imodels,79
json-schema-for-humans,79
kubernetes-asyncio,79
lightly,79
lmfit,79
napalm,79
paddleocr,79
ruptures,79
sceptre,79
setuptools-git-versioning,79
terraform-compliance,81
pytest-benchmark,76
azure,79
azure-applicationinsights,79
azure-cli-nspkg,79
azure-mgmt,79
azure-mgmt-commerce,79
azure-mgmt-deploymentmanager,79
azure-mgmt-devspaces,79
