Package,Score
django-crontab,61
django-suit,61
ebaysdk,61
efficientnet-pytorch,58
feedgen,61
flask-restplus,61
geocoder,61
higher,61
httpretty,64
json-logging,58
keyboard,61
memoization,61
mixer,61
olefile,58
paypalrestsdk,61
pdoc3,61
pottery,61
py2neo,61
pydrive,61
pynput,61
pyprind,61
pysbd,61
pyserial-asyncio,61
pytest-watch,64
python-bidi,61
pythondialog,61
python-graphql-client,61
python-language-server,58
python-pam,64
pyttsx3,61
rules,61
snakebite,61
speedtest-cli,58
spyne,61
utm,61
wikipedia,61
yahoo-finance,61
colourmap,61
tradingeconomics,61
click-spinner,61
credstash,61
datrie,64
django-appconf,61
django-apscheduler,61
django-extra-fields,61
django-htmlmin,61
django-sslserver,61
dockerpty,61
eth-keys,61
flask-graphql,61
fluent-logger,61
frozen-flask,64
fysom,61
gcs-oauth2-boto-plugin,61
gitdb2,58
graypy,61
intelhex,61
jsmin,61
jsonfield,64
jsonpath-rw-ext,61
kaleido,61
kappa,61
paginate,61
pdbpp,61
peppercorn,61
python-consul,61
python-snappy,61
records,61
requests-html,61
salesforce-bulk,61
schematics,61
sphinx-bootstrap-theme,61
wexpect,64
zxcvbn,61
googletrans,61
redis-py-cluster,61
koalas,64
asyncio,61
flashtext,61
flatten-json,61
fpdf,61
furl,61
jsonpath-rw,61
logzero,61
monotonic,61
opentracing,61
pyvirtualdisplay,61
rauth,61
slacker,61
sqlalchemy-stubs,61
timeout-decorator,61
translate,61
validate-email,61
youtube-search-python,61
jinjasql,61
pluginbase,61
keras-preprocessing,59
adr-tools-python,61
backtesting,61
django-watchman,60
exifread-nocycle,61
mxnet-model-server,55
proselint,60
proto-google-cloud-logging-v2,68
proto-google-cloud-spanner-admin-database-v1,61
proto-google-cloud-spanner-v1,64
pyang,65
fitparse,60
pygerrit2,62
pyment,59
pyrad,62
flit-scm,62
maigret,62
aif360,62
crossbar,62
django-advanced-filters,62
django-elasticsearch-dsl-drf,62
litecli,62
pywhatkit,62
ssh2-python,62
toree,62
twirp,62
gapic-google-cloud-datastore-v1,65
josepy,62
kaldi-io,62
selenium-screenshot,62
yolov5,62
augmentor,62
cacheout,62
causalimpact,62
cs50,72
ddt,62
decompyle3,62
fhirclient,62
imapclient,62
karateclub,62
numdifftools,62
portray,62
prometheus-async,62
pypcap,62
pytorch-fid,62
sample-helper-aws-appconfig,62
spectral,53
warlock,62
brewer2mpl,62
drf-nested-routers,62
hug,62
pyfcm,65
flake8-functions,61
ipynbname,62
batchgenerators,62
icontract,79
pygeos,62
rdkit-pypi,62
streamlit-keyup,62
django-extra-views,62
path-py,62
queuelib,64
snapshottest,62
actions-toolkit,62
antlr4-tools,62
astral,62
aws-error-utils,62
bitstruct,65
bsdiff4,62
ccard,62
cyksuid,62
dataclassy,62
datetimerange,70
dbf,62
demjson3,62
django-cache-url,62
django-nine,62
evtx,62
flake8-warnings,70
funcparserlib,62
gspread-formatting,62
json-spec,62
konoha,62
lpc-checksum,62
masky,62
multiprocessing-logging,62
npy-append-array,62
pandoc,62
persistence,70
pingparsing,62
pip-check,62
prefect-snowflake,79
puremagic,62
pyinstaller-versionfile,62
pytest-datafiles,62
pytest-integration,62
pytest-isort,62
rebulk,62
retry2,62
rudder-sdk-python,62
socialscan,62
sphinx-mdinclude,65
sqlvalidator,62
starlette-testclient,59
stdlibs,65
throttler,62
trailrunner,62
unlzw3,62
xmltojson,62
youtube-search,53
django-fsm,62
django-s3direct,62
flake8-bandit,62
icecream,62
node2vec,62
pamqp,62
pipe,62
pyte,61
pyzipper,62
livereload,62
pandas-datareader,59
casefy,62
cwcwidth,65
farama-notifications,62
flake8-pep3101,65
flake8-typing-imports,70
hydra-slayer,62
jump-consistent-hash,62
language-tags,62
pyct,62
python-gettext,62
sqlalchemy-repr,62
tableschema-to-template,62
edgegrid-python,62
flask-apispec,62
