,Unnamed: 0,Id,Label,Degree,Pageranks,Eigencentrality,Package,FinalRiskScore,In_reach,Agg_RS),Agg_RS20),Agg_RS30),Agg_RS50),Agg_RS70)
1806,1806,1806,certifi-2019.11.28,3,5.3e-05,0.00173,certifi,0.607135444,1,0.607135444,0.607135444,0.607135444,0.607135444,0.0
1807,1807,1807,urllib3-1.25.7,3,5.3e-05,0.00173,urllib,0.564677815,1,0.564677815,0.564677815,0.564677815,0.564677815,0.0
1808,1808,1808,certifi-2019.9.11,3,5.3e-05,0.00173,certifi,0.607135444,1,0.607135444,0.607135444,0.607135444,0.607135444,0.0
1809,1809,1809,urllib3-1.25.6,3,5.3e-05,0.00173,urllib,0.564677815,1,0.564677815,0.564677815,0.564677815,0.564677815,0.0
1810,1810,1810,certifi-2019.3.9,2,4.9e-05,0.00128,certifi,0.607135444,1,0.607135444,0.607135444,0.607135444,0.607135444,0.0
1811,1811,1811,urllib3-1.25.3,2,4.9e-05,0.00128,urllib,0.564677815,1,0.564677815,0.564677815,0.564677815,0.564677815,0.0
1812,1812,1812,hearth-0.5.0,6,3.5e-05,0.0,hearth,0.831533393,94,58.96933389900002,58.96933389900002,56.615653621000014,53.903287052,26.11314619
1813,1813,1813,collectionish-0.5.0,1,4e-05,0.00046,collectionish,0.831600667,1,0.831600667,0.831600667,0.831600667,0.831600667,0.831600667
1814,1814,1814,grr-response-core-3.4.6.post7,17,4.7e-05,0.00146,grr-response-core- post,0.671641247,40,27.738298079999993,27.738298079999993,27.738298079999993,27.292224213999994,14.177132855999997
1815,1815,1815,distro-1.7.0,2,4.3e-05,0.00101,distro,0.745637403,1,0.745637403,0.745637403,0.745637403,0.745637403,0.745637403
1816,1816,1816,fleetspeak-0.1.11,3,3.8e-05,0.00053,fleetspeak,0.765427927,3,2.108710421,2.108710421,2.108710421,2.108710421,0.765427927
1817,1817,1817,grr-response-proto-3.4.6.post7,4,4.8e-05,0.00151,grr-response-proto- post,0.671641247,2,1.4683429440000002,1.4683429440000002,1.4683429440000002,1.4683429440000002,0.796701697
1818,1818,1818,ipaddr-2.2.0,1,3.8e-05,0.00053,ipaddr,0.77897445,1,0.77897445,0.77897445,0.77897445,0.77897445,0.77897445
1819,1819,1819,psutil-5.8.0,3,7e-05,0.00146,psutil,0.60049988,1,0.60049988,0.60049988,0.60049988,0.60049988,0.0
1820,1820,1820,python-crontab-2.5.1,3,4e-05,0.001,python-crontab,0.671641247,4,3.027125894,3.027125894,3.027125894,3.027125894,2.355484647
1821,1821,1821,yara-python-4.2.3,1,3.8e-05,0.00053,yara-python,0.670008504,1,0.670008504,0.670008504,0.670008504,0.670008504,0.0
1822,1822,1822,huaweicloudsdkfunctiongraph-3.1.36,1,3.5e-05,0.0,huaweicloudsdkfunctiongraph,0.802595805,39,25.924637194999995,25.924637194999995,25.924637194999995,25.924637194999995,10.957252769999997
1823,1823,1823,harmony-pytorch-0.1.7,6,3.5e-05,0.0,harmony-pytorch,0.699767988,70,41.65517450699998,41.65517450699998,39.04060032199998,35.63440693199999,17.320231998999997
1824,1824,1824,google-assistant-sdk-0.6.0,1,3.5e-05,0.0,google-assistant-sdk,0.630564344,47,32.360282098999996,32.360282098999996,32.360282098999996,32.360282098999996,17.993729090999995
1825,1825,1825,homepanelapi-1.0.5,2,3.5e-05,0.0,homepanelapi,0.711754782,27,18.455131227999996,18.455131227999996,18.455131227999996,18.127810245999996,10.056039618999996
1826,1826,1826,ab-decrypt-1.0.0,1,3.5e-05,0.0,ab-decrypt,0.695214379,6,4.418238771,4.418238771,4.418238771,4.418238771,3.051383145
1827,1827,1827,cryptography-2.9.2,4,7.9e-05,0.00091,cryptography,0.847395434,5,3.723024392,3.723024392,3.723024392,3.723024392,3.051383145
1828,1828,1828,grpc-google-cloud-language-v1-0.14.0,3,3.5e-05,0.0,grpc-google-cloud-language-v,0.742900591,18,13.158638431,13.158638431,13.158638431,13.158638431,9.988943642
1829,1829,1829,grachev-0.0.0,1,3.5e-05,0.0,grachev,0.831770808,2,1.617846689,1.617846689,1.617846689,1.617846689,1.617846689
1830,1830,1830,acfunsdk-ws-0.1.4,6,3.5e-05,0.0,acfunsdk-ws,0.831813828,22,15.851016077,15.851016077,15.584487055,15.584487055,11.210714937
1831,1831,1831,filetype-1.2.0,8,7.9e-05,0.00368,filetype,0.748635892,1,0.748635892,0.748635892,0.748635892,0.748635892,0.748635892
1832,1832,1832,proto-plus-1.22.1,2,4e-05,0.00046,proto-plus,0.671641247,2,1.4683429440000002,1.4683429440000002,1.4683429440000002,1.4683429440000002,0.796701697
1833,1833,1833,google-cloud-bigquery-migration-0.11.0,3,3.5e-05,0.0,google-cloud-bigquery-migration,0.786436327,51,35.873555222,35.873555222,35.873555222,35.873555222,20.957546494
1834,1834,1834,highres-1.0.4,1,3.5e-05,0.0,highres,0.637623264,27,19.769394924999997,19.769394924999997,19.769394924999997,19.769394924999997,12.17734544
1835,1835,1835,heiko-4.6.0,10,3.5e-05,0.0,heiko,0.662427713,38,25.144698181999996,25.144698181999996,25.144698181999996,24.302863047,10.942324755999998
1836,1836,1836,watson-developer-cloud-2.10.1,4,3.8e-05,0.00046,watson-developer-cloud,0.655743815,32,21.66433435,21.66433435,21.66433435,21.66433435,10.195535379999999
1837,1837,1837,websocket-client-0.48.0,2,4.6e-05,0.00048,websocket-client,0.598535156,2,1.356944517,1.356944517,1.356944517,1.356944517,0.758409361
1838,1838,1838,hypothesis-fakefactory-2.0.0,1,3.5e-05,0.0,hypothesis-fakefactory,0.520303494,11,6.643245606000001,6.643245606000001,6.382351699000001,5.903369004,2.2587348179999998
1839,1839,1839,hypothesis-6.72.0,35,0.000567,0.01328,hypothesis,0.478982695,10,6.1229421120000005,6.1229421120000005,5.862048204999999,5.38306551,2.2587348179999998
1840,1840,1840,lark-1.1.5,6,0.000167,0.0034,lark,0.712667054,1,0.712667054,0.712667054,0.712667054,0.712667054,0.712667054
1841,1841,1841,hoopr-py-0.0.11,11,3.5e-05,0.0,hoopr-py,0.831671797,75,46.518578242999986,46.518578242999986,44.164897965,42.249375007,23.570506137000002
1842,1842,1842,gvselect-1.0,2,3.5e-05,0.0,gvselect,0.695281205,3,1.627816359,1.627816359,1.366922452,1.366922452,0.0
1843,1843,1843,fortranfile-0.2.1,1,5e-05,0.00046,fortranfile,0.671641247,1,0.671641247,0.671641247,0.671641247,0.671641247,0.0
1844,1844,1844,goldilocks-0.1.1,2,3.5e-05,0.0,goldilocks,0.811242566,29,15.875014364999998,15.875014364999998,14.043121900999997,12.465176596000001,7.160636608000001
