Package,Overall,FinalRiskScore,Score,Id,Label,Degree,Pageranks,Eigencentrality,In_reach
langchain,0.0,0.544157107,88,2304,langchain-0.0.139,12,3.9e-05,0.00046,77
wasabi,0.0,0.700858514,83,1393,wasabi-1.1.1,4,5.9e-05,0.00228,1
nose,0.0,0.740284046,82,2336,nose-1.3.7,23,0.000242,0.01058,1
triton,0.0,0.758421019,94,311,triton-2.0.0,6,9.6e-05,0.00343,63
hatchling,0.0,0.631612884,91,2985,hatchling-1.14.0,16,0.000227,0.00462,7
jupyter-console,0.0,0.671641247,85,451,jupyter-console-6.6.3,10,4.3e-05,0.00083,37
botocore-stubs,0.0,0.819958265,78,858,botocore-stubs-1.24.38,9,6.3e-05,0.00404,2
torchmetrics,0.0,0.594496058,100,587,torchmetrics-0.11.4,8,5.8e-05,0.00244,64
python-levenshtein,0.0,0.830421152,84,984,python-levenshtein-0.20.9,12,0.0002,0.00543,3
nbclassic,0.0,0.659664648,83,495,nbclassic-0.5.5,21,4.9e-05,0.00139,91
lazy-loader,0.0,0.668272452,85,377,lazy-loader-0.2,4,8.2e-05,0.00319,1
dpath,0.0,0.622379151,83,4241,dpath-2.1.5,2,4.7e-05,0.00094,1
ninja,0.0,0.831989329,82,2612,ninja-1.11.1,2,6.8e-05,0.00094,1
ratelimit,0.0,0.663913118,76,1629,ratelimit-2.2.1,8,9.1e-05,0.00372,1
timm,0.0,0.644940361,82,7276,timm-0.6.13,8,4.8e-05,0.00183,95
types-awscrt,0.0,0.758317198,75,11678,types-awscrt-0.16.14,2,0.000108,0.00096,1
confection,0.0,0.794639802,82,1395,confection-0.0.4,3,3.8e-05,0.00049,13
onnxruntime,0.0,0.465059418,91,10966,onnxruntime-1.14.1,7,4.2e-05,0.00046,9
lightning-utilities,0.0,0.768686476,79,586,lightning-utilities-0.8.0,3,4.1e-05,0.00061,3
asyncio,0.0,0.847593079,61,913,asyncio-3.4.3,18,0.000181,0.00834,1
cachelib,0.0,0.636127403,87,2878,cachelib-0.9.0,1,5.2e-05,0.00052,1
promise,0.0,0.765197434,73,1205,promise-2.3,17,0.000337,0.0086,2
